,rank,Youtuber,subscribers,video views,video count,category,started
65,66,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000,37136069429,1989,Education,2011
66,67,Luisito Comunica,39200000,7691260396,1119,Comedy,2012
67,68,Voot Kids,38800000,17685426640,3282,Entertainment,2016
68,69,Маша и Медведь,38700000,32833907997,1198,Film & Animation,2011
69,70,TheEllenShow,38300000,22335550787,14404,Entertainment,2006
70,71,LUCCAS NETO - LUCCAS TOON,37800000,20454693770,1875,People & Blogs,2014
71,72,Ishtar Music,37800000,14999240876,4535,Trailers,2005
72,73,GR6 EXPLODE,37600000,23912270526,4180,Music,2014
73,74,XXXTENTACION,37600000,9725253939,126,Music,2015
74,75,One Direction,37400000,12698961117,157,Music,2010
75,76,Shakira,37200000,23715669906,287,People & Blogs,2005
76,77,Kimberly Loaiza,37200000,4254148920,206,People & Blogs,2016
77,78,WorkpointOfficial,37000000,33773658170,62039,Entertainment,2012
78,79,Daddy Yankee,36800000,20479831396,423,Music,2011
79,80,Toys and Colors,36500000,40932580174,821,Entertainment,2016
80,81,CarryMinati,36300000,2948237121,178,Comedy,2014
82,83,Maroon 5,36000000,20838666788,163,Music,2006
83,84,shfa,35900000,19083355034,847,People & Blogs,2015
84,85,TEDx Talks,35900000,6660397688,185006,Nonprofits & Activism,2009
85,86,shfa2 - شفا,35800000,20816532667,1351,People & Blogs,2017
86,87,Jkk Entertainment,35700000,15133442317,194,Comedy,2017
87,88,Super Simple Songs - Kids Songs,35300000,37440873935,600,Education,2006
88,89,Bruno Mars,35300000,17395825825,97,Music,2006
89,90,Ozuna,35200000,21048440606,137,Music,2016
90,91,Masha and The Bear,35100000,19426654260,935,Shows,2014
91,92,one31,34400000,26969165355,128901,Entertainment,2013
92,93,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015
93,94,Like Nastya ESP,33600000,15934957738,630,Entertainment,2017
94,95,J Balvin,33600000,21489532517,134,Music,2011
95,96,Mikecrack,33500000,13775632479,1727,Gaming,2015
96,97,VEGETTA777,33400000,14948682643,7130,Gaming,2008
97,98,Ultra Bollywood,33400000,15508274562,9078,Trailers,2009
98,99,Markiplier,33300000,18701808550,5200,Gaming,2012
99,100,YouTube,33300000,2725286912,540,News & Politics,2005
100,101,ABP NEWS,33200000,10421462788,224455,People & Blogs,2012
101,102,Total Gaming,33200000,5935440954,1894,Gaming,2018
102,103,Maria Clara & JP,33100000,20224535670,627,People & Blogs,2015
103,104,Desi Music Factory,33000000,9481987642,125,Music,2014
104,105,Ryan's World,32900000,51721734476,2198,Entertainment,2015
105,106,Geet MP3,32800000,11575367431,563,Music,2016
106,107,Sony PAL,32700000,23519452138,19383,Shows,2014
107,108,NoCopyrightSounds,32700000,10436881173,1116,Music,2011
108,109,SSSniperWolf,32500000,20583922757,3095,Gaming,2013
109,110,T-Series Apna Punjab,32300000,18933492606,6524,Music,2011
110,111,ARY Digital HD,32200000,25304311207,71075,Entertainment,2016
111,112,KHANDESHI MOVIES,32100000,10676727914,191,Comedy,2013
112,113,IndiaTV,31900000,13417041251,237971,News & Politics,2006
113,114,HAR PAL GEO,31900000,26003463646,61818,Entertainment,2008
114,115,JustinBieberVEVO,31800000,25304909929,205,Music,2009
115,116,Ch3Thailand,31600000,20335720484,76039,Entertainment,2014
116,117,La Granja de Zenón,31500000,22808879757,558,Music,2013
117,118,GENIAL,31400000,6362416164,5453,Howto & Style,2017
118,119,Eros Now Music,31000000,16582648732,9807,Entertainment,2007
119,120,Luis Fonsi,30900000,14480846921,121,Entertainment,2014
120,121,Selena Gomez,30900000,11583101067,182,Film & Animation,2008
121,122,Galinha Pintadinha,30800000,22858782418,62,Film & Animation,2006
122,123,SMTOWN,30800000,25203004950,3951,Music,2006
123,124,Mr Bean,30700000,9936630200,2661,Shows,2006
124,125,Bollywood Classics,30600000,19244430138,2008,Music,2012
125,126,CVS 3D Rhymes & Kids Songs,30500000,18636699832,338,Education,2008
126,127,Ricis Official,30500000,5134450983,2003,People & Blogs,2016
127,128,Trap Nation,30400000,13348694779,2472,Music,2012
128,129,Rajshri,30300000,13287506122,3739,Music,2006
129,130,DisneyMusicVEVO,30100000,24693346235,1771,Music,2010
130,131,Dream,30000000,2673017855,110,Gaming,2014
131,132,The Tonight Show Starring Jimmy Fallon,29900000,16006240303,7897,Comedy,2006
132,133,AH,29900000,4082464979,1809,Entertainment,2014
133,134,Saregama Music,29700000,12147894890,5718,Entertainment,2013
134,135,Spinnin' Records,29600000,20075386002,10826,Music,2007
135,136,rezendeevil,29600000,12599347383,11571,Gaming,2012
136,137,Shawn Mendes,29500000,11742431673,132,Music,2011
138,139,Boram Tube Vlog [보람튜브 브이로그],29400000,13109187449,223,Entertainment,2012
139,140,BabyBus - Kids Songs and Cartoons,29200000,23790606514,1825,Education,2016
140,141,AuronPlay,29200000,3935938048,404,Comedy,2006
141,142,The Weeknd,29100000,19280816380,123,Music,2011
